name,price
Python与量化投资从基础到实战+量化交易+Python机器学习快速入门+大数据量化交易+量化投资,327.00
和孩子一起玩编程 中小学编程入门书 趣学python编程入门零基础教孩子学编程的书,49.50
包邮精通Python自然语言处理+NLP汉语自然语言处理原理与实践 2本 语法语义分析,116.60
OpenCV算法精解 OpenCV教程书籍 C++和Python代码拆分算法实现方法 数字图像处理基,63.20
包邮Python自然语言处理+Python自然语言处理实战核心技术与算法+Python文本分析,221.80
正版包邮自动化平台测试开发Python测试开发实战+Web接口开发与自动化测试+自动化测试实战书籍,125.00
正版包邮 Python编程 从入门到实践 基本教程到完整项目开发爬虫学习数据分析处理 语言程序设计p,89.00
Python绝技：运用Python成为顶级黑客 python编程教程书籍,55.00
Python机器学习基础教程,56.90
Raspberry Pi编程指南·第2版 基于Python的游戏编程与机器人制作,41.00
算法设计与分析(Python)/21世纪高等学校计算机专业实用规划教材,32.30
Python程序设计/高等职业教育计算机类课程新形态一体化规划教材,34.70
Python程序设计教程/高等院校计算机技术与应用系列规划教材,24.00
像计算机科学家一样思考Python（第2版）,40.20
乐学Python编程-做个游戏很简单/青少年STEAM活动核心系列丛书,61.40
精通Python网络爬虫：核心技术、框架与项目实战,44.90
Python量化交易,91.10
【正版】Django企业开发实战 高效Python Web框架指南 web开发 the5fire力作,67.00
包邮 Python深度学习 基于TensorFlow+Python自然语言处理实战 核心技术与算法书,108.60
Python编程 从入门到实践,61.40
Python从入门到项目实践（全彩版）,70.60
Python核心编程（第3版）,87.10
Python基础教程（第3版）,69.80
Python从小白到大牛,81.90
Python编程快速上手 让繁琐工作自动化,60.70
零基础学Python（全彩版）,56.40
疯狂Python讲义,108.60
笨办法学Python 3,51.90
利用Python进行数据分析（原书第2版）,82.70
Python学习手册（套装上下册）（原书第5版）,173.00
Python深度学习,83.90
Python编程从零基础到项目实战（微课视频版）,60.30
流畅的Python,98.00
Python项目开发案例集锦（全彩版）,92.80
Python 3网络爬虫开发实战,69.80
Python神经网络编程,60.70
Python编程（第4版 套装上下册）,182.20
Python Cookbook（第3版）中文版,95.00
对比Excel，轻松学习Python数据分析,54.30
Python零基础入门学习（第2版）,81.90
Python零基础入门学习-水木书荟,45.50
深度学习入门 基于Python的理论与实现,41.60
教孩子学编程 Python语言版,51.90
基于Python的大数据分析基础及实战,50.00
Python数据分析与挖掘实战,47.90
Python算法教程,60.70
数据结构 Python语言描述,60.70
Python编程无师自通 专业程序员的养成,51.90
用Python写网络爬虫 第2版,43.10
Python从菜鸟到高手,112.60
Python从入门到精通（软件开发视频大讲堂）,70.20
Django企业开发实战 高效Python Web框架指南,69.80
Python编程从入门到精通 项目开发视频学习版,69.50
Python金融大数据分析,87.10
Python 3标准库,145.30
数据结构与算法：Python语言实现,81.50
TensorFlow：实战Google深度学习框架（第2版）,81.90
Head First Python（第二版）,117.80
Python绝技：运用Python成为顶级黑客,72.70
Python编程从入门到实践 python基础教程 零基础学Python3.5编程入门 计算机程序设,55.00
算法图解,34.60
父与子的编程之旅：与小卡特一起学Python,48.70
Python自然语言处理,78.30
精通Python爬虫框架Scrapy,51.90
码农翻身：用故事给技术加点料,63.50
深入浅出Python机器学习,49.40
Python数据分析基础,51.40
Python数据可视化之matplotlib实践,54.30
Python测试之道,52.60
Python语言程序设计基础（第2版）/教育部大学计算机课程改革项目规划教材,32.10
Python统计分析,69.50
趣学Python：教孩子学编程,51.90
Python游戏编程入门,38.60
Python机器学习基础教程,55.70
Python机器学习,69.50
